Maszyna	Terminal	Opis
MPP60033	608	MI-RE003
MPP60034	608	MI-RE004
MPP60035	601	MI-RE005
MPP60036	601	MI-RE006
MPP60037	616	MI-RE007
MPP60038	616	MI-RE008
MPP60071	608	MI-OKL02
MPP60072	608	MI-OKL03
MPP60073	608	MI-OKL04
MPP60081	601	MI-DRU01
MPP60082	616	MI-DRU07
MPP60101	616	MI-DRU02
MPP60102	616	MI-DRU03
MPP60111	601	MI-PLO01
MPP60112	601	MI-PLO02
MPP60113	601	MI-PLO03
MPP60114	601	MI-PLO04
MPP60121	616	MI-DRU04
MPP60122	616	MI-DRU05
MPP60123	616	MI-DRU06
MR-SP001	830	MR-SP001
MR-SP002	830	MR-SP002
MR-SP003	830	MR-SP003
MR-SP004	830	MR-SP004
MR-SP005	830	MR-SP005
MR-SP006	830	MR-SP006
MR-SP007	830	MR-SP007
MR-SP008	830	MR-SP008
MR-SP009	830	MR-SP009
MR-SP010	830	MR-SP010
MR-SP011	830	MR-SP011
MR-SP012	830	MR-SP012
MR-SP013	830	MR-SP013
MR-SP014	830	MR-SP014
MR-SP015	830	MR-SP015
MR-SP016	830	MR-SP016
QPP01012	690	QPP01012
SP-AUT01	679	AUT_SRU1
SP-AUT02	679	AUT_SRU2
SP-AUT03	679	AUT_SRU3
SP-AUT04	679	AUT_SRU4
SP-AUT05	679	AUT_SRU5
SP-AUT06	679	AUT_SRU6
SP-AUT07	679	AUT_SRU7
SP-AUT08	679	AUT_SRU8
SP-AUT09	679	AUT-PAK9
SP-MR001	636	Z/P/S001
SP-MR002	636	Z/P/S002
SP-MR003	636	Z/P/S003
SP-MR004	587	MSTBP004
SP-MR005	587	MSTBP005
SP-MR006	587	MSTBP006
SP-MR007	653	TMSTBP07
SP-MR008	653	TMSTBP08
SP-MR009	653	TMSTBP09
SP-MR010	636	Z/P/S010
SP-MR013	621	MKDSP
SP-MR014	620	PCO
SP-MR015	589	PTSA-R
SP-MR016	600	MFKDSP
SP-MR017	636	KLEJARKA
SP-MR018	583	KDS
SP-MR019	699	TampoPak
SP-MR020	653	TMSTBP10
SP-MR021	653	TMSTBP11
SP-MR022	650	MSTBO-G
SP-MR023	650	MCO
SP-MR024	621	MKDSP
SPNSR001	642	SPNSR001
SPNSR002	642	SPNSR002
SPNSR003	642	SPNSR003
SPNSR004	642	SPNSR004
SPNSR005	642	SPNSR005
SPNSR006	642	SPNSR006
SPNSR007	642	SPNSR007
SPNSR008	642	SPNSR008
SPNSR009	642	SPNSR009
SPNSR010	642	SPNSR010
SPNSR011	643	SPNSR011
SPNSR012	643	SPNSR012
SPNSR013	643	SPNSR013
SPNSR014	643	SPNSR014
SPNSR015	643	SPNSR015
SPNSR016	643	SPNSR016
SPNSR017	673	SPNSR017
SPNSR018	673	SPNSR018
SPNSR019	673	SPNSR019
SPNSR020	673	SPNSR020
SPNSR021	673	SPNSR021
SPNSR022	673	SPNSR022
SP-PTDA1	695	PTDA-R
SP-PTDA2	695	PTDA-R
SP-PTDA3	695	PTDA-R
SP-RE029	619	FD-SMUM2
SP-RE030	619	FD-SMUM1
